"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26981,923215406,26981,961035757,26981,922963313,26982,22633790
2,26981,923212116,26982,22549438,26981,922963313,26982,22633790
3,26981,923144259,26981,961534724,26981,922963313,26982,22633790
