"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,2,0,5,1,26976,126560316,26976,211492866,26976,126455477,26976,213346319
256,500,375,-2,"0.6",-1,1,2,0,5,2,26976,126639249,26976,213281276,26976,126455477,26976,213346319
256,500,375,-2,"0.6",-1,1,2,0,6,1,26976,290004607,26976,377587567,26976,289899163,26976,379368220
256,500,375,-2,"0.6",-1,1,2,0,6,2,26976,289969693,26976,379299040,26976,289899163,26976,379368220
256,500,375,-2,"0.6",-1,1,2,0,7,1,26976,456813545,26976,543115059,26976,456632788,26976,544833498
256,500,375,-2,"0.6",-1,1,2,0,7,2,26976,456851579,26976,544761450,26976,456632788,26976,544833498
256,500,375,-2,"0.6",-1,1,2,0,8,1,26976,620612439,26976,704833158,26976,620545557,26976,706665284
256,500,375,-2,"0.6",-1,1,2,0,8,2,26976,620635510,26976,706575240,26976,620545557,26976,706665284
256,500,375,-2,"0.6",-1,1,2,0,9,1,26976,782433530,26976,864700657,26976,782331263,26976,866525035
256,500,375,-2,"0.6",-1,1,2,0,9,2,26976,782454794,26976,866456723,26976,782331263,26976,866525035
256,500,375,-2,"0.6",-1,1,2,0,10,1,26976,941593935,26977,26771988,26976,941525266,26977,28618656
256,500,375,-2,"0.6",-1,1,2,0,10,2,26976,941615707,26977,28544253,26976,941525266,26977,28618656
256,500,375,-2,"0.6",-1,1,2,1,1,1,26977,126211103,26977,210970635,26977,126100390,26977,211045889
256,500,375,-2,"0.6",-1,1,2,1,1,2,26977,126175344,26977,210352079,26977,126100390,26977,211045889
256,500,375,-2,"0.6",-1,1,2,1,2,1,26977,285887747,26977,367990258,26977,285800296,26977,368669256
256,500,375,-2,"0.6",-1,1,2,1,2,2,26977,285870780,26977,368575303,26977,285800296,26977,368669256
256,500,375,-2,"0.6",-1,1,2,1,3,1,26977,445490925,26977,532836311,26977,445432814,26977,532910183
256,500,375,-2,"0.6",-1,1,2,1,3,2,26977,445496984,26977,532226327,26977,445432814,26977,532910183
256,500,375,-2,"0.6",-1,1,2,1,4,1,26977,608286129,26977,691511803,26977,608186901,26977,692177848
256,500,375,-2,"0.6",-1,1,2,1,4,2,26977,608320093,26977,692111018,26977,608186901,26977,692177848
256,500,375,-2,"0.6",-1,1,2,1,5,1,26977,767290070,26977,850422107,26977,767225199,26977,850494620
256,500,375,-2,"0.6",-1,1,2,1,5,2,26977,767293987,26977,849809402,26977,767225199,26977,850494620
256,500,375,-2,"0.6",-1,1,2,1,6,1,26977,926317517,26978,11011659,26977,926181569,26978,11692806
256,500,375,-2,"0.6",-1,1,2,1,6,2,26977,926272947,26978,11594388,26977,926181569,26978,11692806
256,500,375,-2,"0.6",-1,1,2,1,7,1,26978,83365659,26978,168276078,26978,83196462,26978,168345626
256,500,375,-2,"0.6",-1,1,2,1,7,2,26978,83309326,26978,167688150,26978,83196462,26978,168345626
256,500,375,-2,"0.6",-1,1,2,1,8,1,26978,244847765,26978,331870544,26978,244738824,26978,331941133
256,500,375,-2,"0.6",-1,1,2,1,8,2,26978,244882525,26978,331281576,26978,244738824,26978,331941133
256,500,375,-2,"0.6",-1,1,2,1,9,1,26978,410091436,26978,495082242,26978,410062958,26978,495176005
256,500,375,-2,"0.6",-1,1,2,1,9,2,26978,410113415,26978,494488791,26978,410062958,26978,495176005
256,500,375,-2,"0.6",-1,1,2,1,10,1,26978,568328283,26978,656106317,26978,568151254,26978,656755794
256,500,375,-2,"0.6",-1,1,2,1,10,2,26978,568269167,26978,656692087,26978,568151254,26978,656755794
256,500,375,-2,"0.6",-1,1,2,2,1,1,26978,744114180,26978,910682114,26978,744053796,26978,910751980
256,500,375,-2,"0.6",-1,1,2,2,1,2,26978,744151398,26978,744151533,26978,744053796,26978,910751980
256,500,375,-2,"0.6",-1,1,2,2,2,1,26978,987945417,26979,152797074,26978,987871727,26979,152861678
256,500,375,-2,"0.6",-1,1,2,2,2,2,26978,987979959,26978,987980068,26978,987871727,26979,152861678
256,500,375,-2,"0.6",-1,1,2,2,3,1,26979,227843408,26979,391834468,26979,227808570,26979,391902391
256,500,375,-2,"0.6",-1,1,2,2,3,2,26979,227839148,26979,227839234,26979,227808570,26979,391902391
256,500,375,-2,"0.6",-1,1,2,2,4,1,26979,468548378,26979,633208017,26979,468330369,26979,633273454
256,500,375,-2,"0.6",-1,1,2,2,4,2,26979,468516024,26979,468516131,26979,468330369,26979,633273454
256,500,375,-2,"0.6",-1,1,2,2,5,1,26979,711034481,26979,877717804,26979,710970338,26979,877783399
256,500,375,-2,"0.6",-1,1,2,2,5,2,26979,711061119,26979,711061203,26979,710970338,26979,877783399
256,500,375,-2,"0.6",-1,1,2,2,6,1,26979,961097898,26980,124983134,26979,960990589,26980,125051655
256,500,375,-2,"0.6",-1,1,2,2,6,2,26979,961063786,26979,961063923,26979,960990589,26980,125051655
256,500,375,-2,"0.6",-1,1,2,2,7,1,26980,201951411,26980,366034682,26980,201791358,26980,366099671
256,500,375,-2,"0.6",-1,1,2,2,7,2,26980,201878922,26980,201879040,26980,201791358,26980,366099671
256,500,375,-2,"0.6",-1,1,2,2,8,1,26980,441971722,26980,608509588,26980,441885920,26980,608579524
256,500,375,-2,"0.6",-1,1,2,2,8,2,26980,442019188,26980,442019251,26980,441885920,26980,608579524
256,500,375,-2,"0.6",-1,1,2,2,9,1,26980,688491322,26980,856490952,26980,688353890,26980,856582626
256,500,375,-2,"0.6",-1,1,2,2,9,2,26980,688555743,26980,688555878,26980,688353890,26980,856582626
256,500,375,-2,"0.6",-1,1,2,2,10,1,26980,942049790,26981,109882361,26980,941917555,26981,109954603
256,500,375,-2,"0.6",-1,1,2,2,10,2,26980,942117834,26980,942117946,26980,941917555,26981,109954603
256,500,375,-2,"0.6",-1,1,3,0,1,1,26981,201008968,26981,237719714,26981,200666870,26981,299248024
256,500,375,-2,"0.6",-1,1,3,0,1,2,26981,200943319,26981,299164225,26981,200666870,26981,299248024
256,500,375,-2,"0.6",-1,1,3,0,1,3,26981,201010347,26981,238290701,26981,200666870,26981,299248024
256,500,375,-2,"0.6",-1,1,3,0,2,1,26981,380755441,26981,417590644,26981,380633769,26981,479161549
256,500,375,-2,"0.6",-1,1,3,0,2,2,26981,380803343,26981,479055601,26981,380633769,26981,479161549
256,500,375,-2,"0.6",-1,1,3,0,2,3,26981,380806554,26981,418171306,26981,380633769,26981,479161549
256,500,375,-2,"0.6",-1,1,3,0,3,1,26981,563307619,26981,597871050,26981,563134542,26981,659451023
256,500,375,-2,"0.6",-1,1,3,0,3,2,26981,563308022,26981,659361903,26981,563134542,26981,659451023
256,500,375,-2,"0.6",-1,1,3,0,3,3,26981,563272876,26981,598405321,26981,563134542,26981,659451023
256,500,375,-2,"0.6",-1,1,3,0,4,1,26981,741366837,26981,780647630,26981,741173176,26981,842193540
256,500,375,-2,"0.6",-1,1,3,0,4,2,26981,741318087,26981,842096327,26981,741173176,26981,842193540
256,500,375,-2,"0.6",-1,1,3,0,4,3,26981,741363501,26981,781202581,26981,741173176,26981,842193540
256,500,375,-2,"0.6",-1,1,3,0,5,1,26981,923215406,26981,961035757,26981,922963313,26982,22633790
256,500,375,-2,"0.6",-1,1,3,0,5,2,26981,923212116,26982,22549438,26981,922963313,26982,22633790
256,500,375,-2,"0.6",-1,1,3,0,5,3,26981,923144259,26981,961534724,26981,922963313,26982,22633790
256,500,375,-2,"0.6",-1,1,3,0,6,1,26982,102490825,26982,140138941,26982,102318074,26982,201779155
256,500,375,-2,"0.6",-1,1,3,0,6,2,26982,102549538,26982,201690074,26982,102318074,26982,201779155
256,500,375,-2,"0.6",-1,1,3,0,6,3,26982,102549664,26982,140728617,26982,102318074,26982,201779155
256,500,375,-2,"0.6",-1,1,3,0,7,1,26982,282415482,26982,321354668,26982,282191459,26982,382983238
256,500,375,-2,"0.6",-1,1,3,0,7,2,26982,282486327,26982,382889235,26982,282191459,26982,382983238
256,500,375,-2,"0.6",-1,1,3,0,7,3,26982,282481605,26982,321951323,26982,282191459,26982,382983238
256,500,375,-2,"0.6",-1,1,3,0,8,1,26982,466083112,26982,503057548,26982,465931761,26982,564687759
