"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26845,20401489,26845,47793140,26845,20182011,26845,49542397
2,26845,24069822,26845,49276438,26845,20182011,26845,49542397
3,26845,20401036,26845,49475297,26845,20182011,26845,49542397
4,26845,20431422,26845,49120618,26845,20182011,26845,49542397
5,26845,20381356,26845,47916168,26845,20182011,26845,49542397
6,26845,20336893,26845,48878497,26845,20182011,26845,49542397
