"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26846,224175700,26846,386832850,26846,223731373,26846,386931436
2,26846,224137539,26846,224137677,26846,223731373,26846,386931436
3,26846,224123685,26846,224123913,26846,223731373,26846,386931436
4,26846,224124556,26846,224124693,26846,223731373,26846,386931436
5,26846,228043408,26846,228043524,26846,223731373,26846,386931436
6,26846,224125156,26846,224125289,26846,223731373,26846,386931436
