"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,"0.6",-1,1,0,0,1,0,26196,743245189,26196,908520485,26196,743245049,26196,908520551
256,500,375,-2,"0.6",-1,1,0,0,2,0,26196,976568614,26197,141578823,26196,976568526,26197,141578911
256,500,375,-2,"0.6",-1,1,0,0,3,0,26197,210673467,26197,375966099,26197,210673371,26197,375966169
256,500,375,-2,"0.6",-1,1,0,0,4,0,26197,442476519,26197,609399660,26197,442476433,26197,609399754
256,500,375,-2,"0.6",-1,1,0,0,5,0,26197,680243065,26197,847529058,26197,680242981,26197,847529156
256,500,375,-2,"0.6",-1,1,0,0,6,0,26197,917083345,26198,99086194,26197,917083262,26198,99086266
256,500,375,-2,"0.6",-1,1,0,0,7,0,26198,169406516,26198,334170861,26198,169406434,26198,334170924
256,500,375,-2,"0.6",-1,1,0,0,8,0,26198,406161387,26198,573380578,26198,406161240,26198,573380722
256,500,375,-2,"0.6",-1,1,0,0,9,0,26198,643499716,26198,806847249,26198,643499581,26198,806847314
256,500,375,-2,"0.6",-1,1,0,0,10,0,26198,876740632,26199,44133475,26198,876740546,26199,44133555
256,500,375,-2,"0.6",-1,1,1,0,1,1,26199,198114466,26199,365464974,26199,198077251,26199,365534423
256,500,375,-2,"0.6",-1,1,1,0,2,1,26199,436307425,26199,603905532,26199,436283130,26199,603970676
256,500,375,-2,"0.6",-1,1,1,0,3,1,26199,670036807,26199,837207945,26199,669992861,26199,837273721
256,500,375,-2,"0.6",-1,1,1,0,4,1,26199,909900742,26200,78932180,26199,909841396,26200,79000607
256,500,375,-2,"0.6",-1,1,1,0,5,1,26200,148447481,26200,315894441,26200,148383264,26200,315962593
256,500,375,-2,"0.6",-1,1,1,0,6,1,26200,390340236,26200,557469464,26200,390257662,26200,557539516
256,500,375,-2,"0.6",-1,1,1,0,7,1,26200,626456618,26200,792797931,26200,626450573,26200,792809317
256,500,375,-2,"0.6",-1,1,1,0,8,1,26200,863551506,26201,30203673,26200,863534974,26201,30273644
256,500,375,-2,"0.6",-1,1,1,0,9,1,26201,99377642,26201,265369593,26201,99369396,26201,265438466
256,500,375,-2,"0.6",-1,1,1,0,10,1,26201,336012258,26201,503698465,26201,335993387,26201,503765184
256,500,375,-2,"0.6",-1,1,1,1,1,1,26201,584468369,26201,750897414,26201,584439770,26201,750967397
256,500,375,-2,"0.6",-1,1,1,1,2,1,26201,819344678,26201,984429134,26201,819296805,26201,984498881
256,500,375,-2,"0.6",-1,1,1,1,3,1,26202,54612791,26202,221486732,26202,54566100,26202,221556205
256,500,375,-2,"0.6",-1,1,1,1,4,1,26202,287690376,26202,451202170,26202,287648272,26202,451271222
256,500,375,-2,"0.6",-1,1,1,1,5,1,26202,520020389,26202,685670762,26202,519994953,26202,685740996
256,500,375,-2,"0.6",-1,1,1,1,6,1,26202,757730498,26202,921941049,26202,757702184,26202,922007163
