"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26227,191717127,26227,355029058,26227,191416508,26227,355130327
2,26227,191686358,26227,191686478,26227,191416508,26227,355130327
3,26227,191684576,26227,191684739,26227,191416508,26227,355130327
4,26227,191727079,26227,191727222,26227,191416508,26227,355130327
5,26227,191644197,26227,191644342,26227,191416508,26227,355130327
