"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26229,50407172,26229,57963704,26229,50096882,26229,100985625
2,26229,50420302,26229,79956030,26229,50096882,26229,100985625
3,26229,50375858,26229,99645967,26229,50096882,26229,100985625
4,26229,50445723,26229,100881359,26229,50096882,26229,100985625
5,26229,52067014,26229,82903839,26229,50096882,26229,100985625
6,26229,50422539,26229,62586786,26229,50096882,26229,100985625
