"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26234,339330598,26234,504459697,26234,339183820,26234,504560085
2,26234,339327951,26234,339328023,26234,339183820,26234,504560085
3,26234,339361311,26234,339361409,26234,339183820,26234,504560085
4,26234,339390620,26234,339390690,26234,339183820,26234,504560085
5,26234,339362218,26234,339362261,26234,339183820,26234,504560085
6,26234,339359821,26234,339359924,26234,339183820,26234,504560085
