"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26226,128829643,26226,163898827,26226,128587243,26226,164918150
2,26226,128827589,26226,163761362,26226,128587243,26226,164918150
3,26226,128826370,26226,164386811,26226,128587243,26226,164918150
4,26226,128790603,26226,164852124,26226,128587243,26226,164918150
5,26226,128855502,26226,163675906,26226,128587243,26226,164918150
