"thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
1,26232,182580383,26232,346121984,26232,182282105,26232,346189947
2,26232,182582027,26232,182582070,26232,182282105,26232,346189947
3,26232,182542242,26232,182542391,26232,182282105,26232,346189947
4,26232,182579386,26232,182579483,26232,182282105,26232,346189947
5,26232,182606579,26232,182606659,26232,182282105,26232,346189947
6,26232,182612359,26232,182612403,26232,182282105,26232,346189947
